"CRIM","ZN","INDUS","CHAS1","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT","binaryClass"
0,0.18,0.0678152492668622,0,0.314814814814815,0.577505269208661,0.641606591143151,0.269203139066464,0,0.208015267175572,0.287234042553192,1,0.0896799116997793,0
0.000235922539178428,0,0.242302052785924,0,0.172839506172839,0.547997700708948,0.7826982492276,0.348961980194418,0.0434782608695652,0.104961832061069,0.553191489361702,1,0.204470198675497,1
0.000235697744000554,0,0.242302052785924,0,0.172839506172839,0.694385897681548,0.599382080329557,0.348961980194418,0.0434782608695652,0.104961832061069,0.553191489361702,0.989737253517575,0.0634657836644592,0
0.000292795719180469,0,0.063049853372434,0,0.150205761316872,0.65855527878904,0.441812564366632,0.448544589838955,0.0869565217391304,0.066793893129771,0.648936170212766,0.994276060315699,0.0333885209713024,0
0.000705070075400799,0,0.063049853372434,0,0.150205761316872,0.68710480935045,0.52832131822863,0.448544589838955,0.0869565217391304,0.066793893129771,0.648936170212766,1,0.0993377483443709,0
0.000264471526768385,0,0.063049853372434,0,0.150205761316872,0.549722168997892,0.574665293511843,0.448544589838955,0.0869565217391304,0.066793893129771,0.648936170212766,0.992990065056231,0.0960264900662252,0
0.000921323036515279,0.125,0.271627565982405,0,0.286008230452675,0.469630197355815,0.656024716786818,0.402922641835426,0.173913043478261,0.236641221374046,0.276595744680851,0.996721972868022,0.295253863134658,0
0.00155367187187394,0.125,0.271627565982405,0,0.286008230452675,0.500287411381491,0.959835221421215,0.438387181842155,0.173913043478261,0.236641221374046,0.276595744680851,1,0.480684326710817,0
0.00230325139249373,0.125,0.271627565982405,0,0.286008230452675,0.396627706457176,1,0.450354190726477,0.173913043478261,0.236641221374046,0.276595744680851,0.974103585657371,0.778145695364238,1
0.00184017332607395,0.125,0.271627565982405,0,0.286008230452675,0.468097336654531,0.854788877445932,0.496730896889123,0.173913043478261,0.236641221374046,0.276595744680851,0.974305310403954,0.424116997792495,1
0.00245667410139252,0.125,0.271627565982405,0,0.286008230452675,0.539566966851887,0.94129763130793,0.474415517100274,0.173913043478261,0.236641221374046,0.276595744680851,0.988955570124565,0.516556291390728,1
0.00124929920103298,0.125,0.271627565982405,0,0.286008230452675,0.469055374592834,0.82389289392379,0.463503350944357,0.173913043478261,0.236641221374046,0.276595744680851,1,0.318432671081678,1
0.000983029312841604,0.125,0.271627565982405,0,0.286008230452675,0.446062464073577,0.37178166838311,0.392956196746356,0.173913043478261,0.236641221374046,0.276595744680851,0.983862020273337,0.385761589403974,1
0.00700731528467837,0,0.281524926686217,0,0.314814814814815,0.457558919333206,0.60659114315139,0.325355327410452,0.130434782608696,0.229007633587786,0.893617021276596,1,0.180187637969095,1
0.00709948130760657,0,0.281524926686217,0,0.314814814814815,0.485725234719295,0.840370751802266,0.303021760678009,0.130434782608696,0.229007633587786,0.893617021276596,0.957436078470926,0.23537527593819,1
0.00698067705610033,0,0.281524926686217,0,0.314814814814815,0.435524046752251,0.552008238928939,0.30635906482736,0.130434782608696,0.229007633587786,0.893617021276596,0.996772404054667,0.18598233995585,1
0.0117748838146123,0,0.281524926686217,0,0.314814814814815,0.454876413105959,0.271884654994851,0.30635906482736,0.130434782608696,0.229007633587786,0.893617021276596,0.974658328710475,0.133830022075055,0
0.00874318364821893,0,0.281524926686217,0,0.314814814814815,0.465414830427285,0.811534500514933,0.284471078212951,0.130434782608696,0.229007633587786,0.893617021276596,0.974406172777246,0.357064017660044,1
0.00895123158534102,0,0.281524926686217,0,0.314814814814815,0.363096378616593,0.347064881565397,0.242513799343451,0.130434782608696,0.229007633587786,0.893617021276596,0.727898532452469,0.274834437086093,1
0.00808678172882778,0,0.281524926686217,0,0.314814814814815,0.415022034872581,0.685890834191555,0.242513799343451,0.130434782608696,0.229007633587786,0.893617021276596,0.984996721972868,0.263520971302428,1
0.0139987825093166,0,0.281524926686217,0,0.314814814814815,0.384939643609887,0.98043254376931,0.242641107948604,0.130434782608696,0.229007633587786,0.893617021276596,0.948736698774522,0.532284768211921,1
